FIELDTYPE,MODBUSADDRESS,FIELDSIZE,FIELDNAME,VALUE,TYPE,MANDATORY,R/W,SF,UNIT,SERVERID
Fixed,250,2,WattHours,,acc32,M,R,WH_SF,Wh,1
Fixed,252,1,WH_SF,,scalefactor,M,R,,,1
Fixed,253,1,DCAmps,,sint16,O,R,DCA_SF,A,1
Fixed,254,1,DCA_SF,,scalefactor,O,R,,,1
Fixed,255,1,DCVoltage,,uint16,O,R,DCV_SF,V,1
Fixed,256,1,DCV_SF,,scalefactor,O,R,,,1
Fixed,257,1,DCWatts,,sint16,O,R,DCW_SF,W,1
Fixed,258,1,DCW_SF,,scalefactor,O,R,,,1
Fixed,259,1,CabinetTemperature,,sint16,M,R,Tmp_SF,C,1
Fixed,260,1,HeatSinkTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,261,1,TransformerTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,262,1,OtherTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,263,1,Tmp_SF,,scalefactor,M,R,,,1
Fixed,264,1,OperatingState,,enum16,M,R,,,1
Fixed,265,1,VendorOperatingState,,enum16,O,R,,,1
Fixed,266,2,Event1,,bitfield32,M,R,,,1
Fixed,268,2,EventBitfield2,,bitfield32,M,R,,,1
Fixed,270,2,VendorEventBitfield1,,bitfield32,O,R,,,1
Fixed,272,2,VendorEventBitfield2,,bitfield32,O,R,,,1
Fixed,274,2,VendorEventBitfield3,,bitfield32,O,R,,,1
Fixed,276,2,VendorEventBitfield4,,bitfield32,O,R,,,1
Header,278,1,"ID ""InverterThreePhase""",103,uint16,M,R,,,1
Header,279,1,Length,50,uint16,M,R,,,1
Fixed,280,1,Amps,,uint16,M,R,A_SF,A,1
Fixed,281,1,AmpsPhaseA,,uint16,M,R,A_SF,A,1
Fixed,282,1,AmpsPhaseB,,uint16,M,R,A_SF,A,1
Fixed,283,1,AmpsPhaseC,,uint16,M,R,A_SF,A,1
Fixed,284,1,A_SF,,scalefactor,M,R,,,1
Fixed,285,1,PhaseVoltageAB,,uint16,O,R,V_SF,V,1
Fixed,286,1,PhaseVoltageBC,,uint16,O,R,V_SF,V,1
Fixed,287,1,PhaseVoltageCA,,uint16,O,R,V_SF,V,1
Fixed,288,1,PhaseVoltageAN,,uint16,M,R,V_SF,V,1
Fixed,289,1,PhaseVoltageBN,,uint16,M,R,V_SF,V,1
Fixed,290,1,PhaseVoltageCN,,uint16,M,R,V_SF,V,1
Fixed,291,1,V_SF,,scalefactor,M,R,,,1
Fixed,292,1,Watts,,sint16,M,R,W_SF,W,1
Fixed,293,1,W_SF,,scalefactor,M,R,,,1
Fixed,294,1,Hz,,uint16,M,R,Hz_SF,Hz,1
Fixed,295,1,Hz_SF,,scalefactor,M,R,,,1
Fixed,296,1,VA,,sint16,O,R,VA_SF,VA,1
Fixed,297,1,VA_SF,,scalefactor,O,R,,,1
Fixed,298,1,VAr,,sint16,O,R,VAr_SF,var,1
Fixed,299,1,VAr_SF,,scalefactor,O,R,,,1
Fixed,300,1,PF,,sint16,O,R,PF_SF,Pct,1
Fixed,301,1,PF_SF,,scalefactor,O,R,,,1
Fixed,302,2,WattHours,,acc32,M,R,WH_SF,Wh,1
Fixed,304,1,WH_SF,,scalefactor,M,R,,,1
Fixed,305,1,DCAmps,,sint16,O,R,DCA_SF,A,1
Fixed,306,1,DCA_SF,,scalefactor,O,R,,,1
Fixed,307,1,DCVoltage,,uint16,O,R,DCV_SF,V,1
Fixed,308,1,DCV_SF,,scalefactor,O,R,,,1
Fixed,309,1,DCWatts,,sint16,O,R,DCW_SF,W,1
Fixed,310,1,DCW_SF,,scalefactor,O,R,,,1
Fixed,311,1,CabinetTemperature,,sint16,M,R,Tmp_SF,C,1
Fixed,312,1,HeatSinkTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,313,1,TransformerTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,314,1,OtherTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,315,1,Tmp_SF,,scalefactor,M,R,,,1
Fixed,316,1,OperatingState,,enum16,M,R,,,1
Fixed,317,1,VendorOperatingState,,enum16,O,R,,,1
Fixed,318,2,Event1,,bitfield32,M,R,,,1
Fixed,320,2,EventBitfield2,,bitfield32,M,R,,,1
Fixed,322,2,VendorEventBitfield1,,bitfield32,O,R,,,1
Fixed,324,2,VendorEventBitfield2,,bitfield32,O,R,,,1
Fixed,326,2,VendorEventBitfield3,,bitfield32,O,R,,,1
Fixed,328,2,VendorEventBitfield4,,bitfield32,O,R,,,1
Header,330,1,"ID ""InverterThreePhase""",103,uint16,M,R,,,1
Header,331,1,Length,50,uint16,M,R,,,1
Fixed,332,1,Amps,,uint16,M,R,A_SF,A,1
Fixed,333,1,AmpsPhaseA,,uint16,M,R,A_SF,A,1
Fixed,334,1,AmpsPhaseB,,uint16,M,R,A_SF,A,1
Fixed,335,1,AmpsPhaseC,,uint16,M,R,A_SF,A,1
Fixed,336,1,A_SF,,scalefactor,M,R,,,1
Fixed,337,1,PhaseVoltageAB,,uint16,O,R,V_SF,V,1
Fixed,338,1,PhaseVoltageBC,,uint16,O,R,V_SF,V,1
Fixed,339,1,PhaseVoltageCA,,uint16,O,R,V_SF,V,1
Fixed,340,1,PhaseVoltageAN,,uint16,M,R,V_SF,V,1
Fixed,341,1,PhaseVoltageBN,,uint16,M,R,V_SF,V,1
Fixed,342,1,PhaseVoltageCN,,uint16,M,R,V_SF,V,1
Fixed,343,1,V_SF,,scalefactor,M,R,,,1
Fixed,344,1,Watts,,sint16,M,R,W_SF,W,1
Fixed,345,1,W_SF,,scalefactor,M,R,,,1
Fixed,346,1,Hz,,uint16,M,R,Hz_SF,Hz,1
Fixed,347,1,Hz_SF,,scalefactor,M,R,,,1
Fixed,348,1,VA,,sint16,O,R,VA_SF,VA,1
Fixed,349,1,VA_SF,,scalefactor,O,R,,,1
Fixed,350,1,VAr,,sint16,O,R,VAr_SF,var,1
Fixed,351,1,VAr_SF,,scalefactor,O,R,,,1
Fixed,352,1,PF,,sint16,O,R,PF_SF,Pct,1
Fixed,353,1,PF_SF,,scalefactor,O,R,,,1
Fixed,354,2,WattHours,,acc32,M,R,WH_SF,Wh,1
Fixed,356,1,WH_SF,,scalefactor,M,R,,,1
Fixed,357,1,DCAmps,,sint16,O,R,DCA_SF,A,1
Fixed,358,1,DCA_SF,,scalefactor,O,R,,,1
Fixed,359,1,DCVoltage,,uint16,O,R,DCV_SF,V,1
Fixed,360,1,DCV_SF,,scalefactor,O,R,,,1
Fixed,361,1,DCWatts,,sint16,O,R,DCW_SF,W,1
Fixed,362,1,DCW_SF,,scalefactor,O,R,,,1
Fixed,363,1,CabinetTemperature,,sint16,M,R,Tmp_SF,C,1
Fixed,364,1,HeatSinkTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,365,1,TransformerTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,366,1,OtherTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,367,1,Tmp_SF,,scalefactor,M,R,,,1
Fixed,368,1,OperatingState,,enum16,M,R,,,1
Fixed,369,1,VendorOperatingState,,enum16,O,R,,,1
Fixed,370,2,Event1,,bitfield32,M,R,,,1
Fixed,372,2,EventBitfield2,,bitfield32,M,R,,,1
Fixed,374,2,VendorEventBitfield1,,bitfield32,O,R,,,1
Fixed,376,2,VendorEventBitfield2,,bitfield32,O,R,,,1
Fixed,378,2,VendorEventBitfield3,,bitfield32,O,R,,,1
Fixed,380,2,VendorEventBitfield4,,bitfield32,O,R,,,1
Header,382,1,"ID ""InverterThreePhase""",103,uint16,M,R,,,1
Header,383,1,Length,50,uint16,M,R,,,1
Fixed,384,1,Amps,,uint16,M,R,A_SF,A,1
Fixed,385,1,AmpsPhaseA,,uint16,M,R,A_SF,A,1
Fixed,386,1,AmpsPhaseB,,uint16,M,R,A_SF,A,1
Fixed,387,1,AmpsPhaseC,,uint16,M,R,A_SF,A,1
Fixed,388,1,A_SF,,scalefactor,M,R,,,1
Fixed,389,1,PhaseVoltageAB,,uint16,O,R,V_SF,V,1
Fixed,390,1,PhaseVoltageBC,,uint16,O,R,V_SF,V,1
Fixed,391,1,PhaseVoltageCA,,uint16,O,R,V_SF,V,1
Fixed,392,1,PhaseVoltageAN,,uint16,M,R,V_SF,V,1
Fixed,393,1,PhaseVoltageBN,,uint16,M,R,V_SF,V,1
Fixed,394,1,PhaseVoltageCN,,uint16,M,R,V_SF,V,1
Fixed,395,1,V_SF,,scalefactor,M,R,,,1
Fixed,396,1,Watts,,sint16,M,R,W_SF,W,1
Fixed,397,1,W_SF,,scalefactor,M,R,,,1
Fixed,398,1,Hz,,uint16,M,R,Hz_SF,Hz,1
Fixed,399,1,Hz_SF,,scalefactor,M,R,,,1
Fixed,400,1,VA,,sint16,O,R,VA_SF,VA,1
Fixed,401,1,VA_SF,,scalefactor,O,R,,,1
Fixed,402,1,VAr,,sint16,O,R,VAr_SF,var,1
Fixed,403,1,VAr_SF,,scalefactor,O,R,,,1
Fixed,404,1,PF,,sint16,O,R,PF_SF,Pct,1
Fixed,405,1,PF_SF,,scalefactor,O,R,,,1
Fixed,406,2,WattHours,,acc32,M,R,WH_SF,Wh,1
Fixed,408,1,WH_SF,,scalefactor,M,R,,,1
Fixed,409,1,DCAmps,,sint16,O,R,DCA_SF,A,1
Fixed,410,1,DCA_SF,,scalefactor,O,R,,,1
Fixed,411,1,DCVoltage,,uint16,O,R,DCV_SF,V,1
Fixed,412,1,DCV_SF,,scalefactor,O,R,,,1
Fixed,413,1,DCWatts,,sint16,O,R,DCW_SF,W,1
Fixed,414,1,DCW_SF,,scalefactor,O,R,,,1
Fixed,415,1,CabinetTemperature,,sint16,M,R,Tmp_SF,C,1
Fixed,416,1,HeatSinkTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,417,1,TransformerTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,418,1,OtherTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,419,1,Tmp_SF,,scalefactor,M,R,,,1
Fixed,420,1,OperatingState,,enum16,M,R,,,1
Fixed,421,1,VendorOperatingState,,enum16,O,R,,,1
Fixed,422,2,Event1,,bitfield32,M,R,,,1
Fixed,424,2,EventBitfield2,,bitfield32,M,R,,,1
Fixed,426,2,VendorEventBitfield1,,bitfield32,O,R,,,1
Fixed,428,2,VendorEventBitfield2,,bitfield32,O,R,,,1
Fixed,430,2,VendorEventBitfield3,,bitfield32,O,R,,,1
Fixed,432,2,VendorEventBitfield4,,bitfield32,O,R,,,1
Header,434,1,"ID ""InverterThreePhase""",103,uint16,M,R,,,1
Header,435,1,Length,50,uint16,M,R,,,1
Fixed,436,1,Amps,,uint16,M,R,A_SF,A,1
Fixed,437,1,AmpsPhaseA,,uint16,M,R,A_SF,A,1
Fixed,438,1,AmpsPhaseB,,uint16,M,R,A_SF,A,1
Fixed,439,1,AmpsPhaseC,,uint16,M,R,A_SF,A,1
Fixed,440,1,A_SF,,scalefactor,M,R,,,1
Fixed,441,1,PhaseVoltageAB,,uint16,O,R,V_SF,V,1
Fixed,442,1,PhaseVoltageBC,,uint16,O,R,V_SF,V,1
Fixed,443,1,PhaseVoltageCA,,uint16,O,R,V_SF,V,1
Fixed,444,1,PhaseVoltageAN,,uint16,M,R,V_SF,V,1
Fixed,445,1,PhaseVoltageBN,,uint16,M,R,V_SF,V,1
Fixed,446,1,PhaseVoltageCN,,uint16,M,R,V_SF,V,1
Fixed,447,1,V_SF,,scalefactor,M,R,,,1
Fixed,448,1,Watts,,sint16,M,R,W_SF,W,1
Fixed,449,1,W_SF,,scalefactor,M,R,,,1
Fixed,450,1,Hz,,uint16,M,R,Hz_SF,Hz,1
Fixed,451,1,Hz_SF,,scalefactor,M,R,,,1
Fixed,452,1,VA,,sint16,O,R,VA_SF,VA,1
Fixed,453,1,VA_SF,,scalefactor,O,R,,,1
Fixed,454,1,VAr,,sint16,O,R,VAr_SF,var,1
Fixed,455,1,VAr_SF,,scalefactor,O,R,,,1
Fixed,456,1,PF,,sint16,O,R,PF_SF,Pct,1
Fixed,457,1,PF_SF,,scalefactor,O,R,,,1
Fixed,458,2,WattHours,,acc32,M,R,WH_SF,Wh,1
Fixed,460,1,WH_SF,,scalefactor,M,R,,,1
Fixed,461,1,DCAmps,,sint16,O,R,DCA_SF,A,1
Fixed,462,1,DCA_SF,,scalefactor,O,R,,,1
Fixed,463,1,DCVoltage,,uint16,O,R,DCV_SF,V,1
Fixed,464,1,DCV_SF,,scalefactor,O,R,,,1
Fixed,465,1,DCWatts,,sint16,O,R,DCW_SF,W,1
Fixed,466,1,DCW_SF,,scalefactor,O,R,,,1
Fixed,467,1,CabinetTemperature,,sint16,M,R,Tmp_SF,C,1
Fixed,468,1,HeatSinkTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,469,1,TransformerTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,470,1,OtherTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,471,1,Tmp_SF,,scalefactor,M,R,,,1
Fixed,472,1,OperatingState,,enum16,M,R,,,1
Fixed,473,1,VendorOperatingState,,enum16,O,R,,,1
Fixed,474,2,Event1,,bitfield32,M,R,,,1
Fixed,476,2,EventBitfield2,,bitfield32,M,R,,,1
Fixed,478,2,VendorEventBitfield1,,bitfield32,O,R,,,1
Fixed,480,2,VendorEventBitfield2,,bitfield32,O,R,,,1
Fixed,482,2,VendorEventBitfield3,,bitfield32,O,R,,,1
Fixed,484,2,VendorEventBitfield4,,bitfield32,O,R,,,1
Header,486,1,"ID ""Nameplate""",120,uint16,M,R,,,1
Header,487,1,Length,26,uint16,M,R,,,1
Fixed,488,1,DERTyp,,enum16,M,R,,,1
Fixed,489,1,WRtg,,uint16,M,R,WRtg_SF,W,1
Fixed,490,1,WRtg_SF,,scalefactor,M,R,,,1
Fixed,491,1,VARtg,,uint16,M,R,VARtg_SF,VA,1
Fixed,492,1,VARtg_SF,,scalefactor,M,R,,,1
Fixed,493,1,VArRtgQ1,,sint16,M,R,VArRtg_SF,var,1
Fixed,494,1,VArRtgQ2,,sint16,M,R,VArRtg_SF,var,1
Fixed,495,1,VArRtgQ3,,sint16,M,R,VArRtg_SF,var,1
Fixed,496,1,VArRtgQ4,,sint16,M,R,VArRtg_SF,var,1
Fixed,497,1,VArRtg_SF,,scalefactor,M,R,,,1
Fixed,498,1,ARtg,,uint16,M,R,ARtg_SF,A,1
Fixed,499,1,ARtg_SF,,scalefactor,M,R,,,1
Fixed,500,1,PFRtgQ1,,sint16,M,R,PFRtg_SF,cos(),1
Fixed,501,1,PFRtgQ2,,sint16,M,R,PFRtg_SF,cos(),1
Fixed,502,1,PFRtgQ3,,sint16,M,R,PFRtg_SF,cos(),1
Fixed,503,1,PFRtgQ4,,sint16,M,R,PFRtg_SF,cos(),1
Fixed,504,1,PFRtg_SF,,scalefactor,M,R,,,1
Fixed,505,1,WHRtg,,uint16,O,R,WHRtg_SF,Wh,1
Fixed,506,1,WHRtg_SF,,scalefactor,O,R,,,1
Fixed,507,1,AhrRtg,,uint16,O,R,AhrRtg_SF,AH,1
Fixed,508,1,AhrRtg_SF,,scalefactor,O,R,,,1
Fixed,509,1,MaxChaRte,,uint16,O,R,MaxChaRte_SF,W,1
Fixed,510,1,MaxChaRte_SF,,scalefactor,O,R,,,1
Fixed,511,1,MaxDisChaRte,,uint16,O,R,MaxDisChaRte_SF,W,1
Fixed,512,1,MaxDisChaRte_SF,,scalefactor,O,R,,,1
Fixed,513,1,Pad,,pad,O,R,,,1
Header,514,1,"ID ""ImmediateControls""",123,uint16,M,R,,,1
Header,515,1,Length,24,uint16,M,R,,,1
Fixed,516,1,Conn_WinTms,,uint16,O,RW,,Secs,1
Fixed,517,1,Conn_RvrtTms,,uint16,O,RW,,Secs,1
Fixed,518,1,Conn,,enum16,M,RW,,,1
Fixed,519,1,WMaxLimPct,,sint16,M,RW,WMaxLimPct_SF,% WMax,1
Fixed,520,1,WMaxLimPct_WinTms,,uint16,O,RW,,Secs,1
Fixed,521,1,WMaxLimPct_RvrtTms,,uint16,O,RW,,Secs,1
Fixed,522,1,WMaxLimPct_RmpTms,,uint16,O,RW,,Secs,1
Fixed,523,1,WMaxLim_Ena,,enum16,M,RW,,,1
Fixed,524,1,OutPFSet,,sint16,M,RW,OutPFSet_SF,cos(),1
Fixed,525,1,OutPFSet_WinTms,,uint16,O,RW,,Secs,1
Fixed,526,1,OutPFSet_RvrtTms,,uint16,O,RW,,Secs,1
